type,term,level,pos,definition_url,voice_url
word,accurate,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accurate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accurate__us_1.ogg
word,accurately,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accurately,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accurately__us_1.ogg
word,accusation,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accusation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accusation__us_1.ogg
word,accuse,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accuse,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accuse__us_2.ogg
word,accused,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/the-accused,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accused__us_1.ogg
word,achieve,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/achieve,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ach/achie/achieve__us_2.ogg
word,achievement,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/achievement,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ach/achie/achievement__us_1.ogg
word,acid,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acid_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aci/acid_/acid__us_1.ogg
word,acid,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acid_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aci/acid_/acid__us_1.ogg
word,acknowledge,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/acknowledge,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ack/ackno/acknowledge__us_1.ogg
word,acquire,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/acquire,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acq/acqui/acquire__us_2.ogg
word,acquisition,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acquisition,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acq/acqui/acquisition__us_1.ogg
word,acre,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acre,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acre_/acre__us_1.ogg
word,across,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/across_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acros/across__us_1.ogg
word,across,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/across_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acros/across__us_1.ogg
word,act,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/act_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/act__/act__us_2.ogg
word,act,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/act_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/act__/act__us_2.ogg
word,action,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/action_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actio/action__us_2.ogg
word,activate,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/activate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activate__us_1.ogg
word,activation,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activation__us_1.ogg
word,active,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/active_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/active__us_2.ogg
word,activist,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activist,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activist__us_1.ogg
word,activity,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activity,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activity__us_4.ogg
word,actor,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/actor,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actor/actor__us_2.ogg
word,actress,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/actress,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actre/actress__us_2.ogg
word,actual,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/actual,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actua/actual__us_1_rr.ogg
word,actually,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/actually,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actua/actually__us_1_rr.ogg
word,acute,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acute,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acu/acute/acute__us_1.ogg
word,ad,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ad_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ad_/ad__u/ad__us_2.ogg
word,adapt,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adapt,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ada/adapt/adapt__us_1.ogg
word,adaptation,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adaptation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ada/adapt/adaptation__us_1.ogg
word,add,a1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/add_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/add__/add__us_2.ogg
word,addiction,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/addiction,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addic/addiction__us_1.ogg
word,addition,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/addition,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/addition__us_2.ogg
word,additional,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/additional,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/additional__us_3.ogg
word,additionally,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/additionally,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/additionally__us_1.ogg
